5.1122	1472
5.1122	1472
5.1122	1472
5.1122	1472
5.1122	1472
5.1122	1472
5.1122	1472
5.1122	1472
5.1122	1472
5.1122	1472
5.1122	1472
5.1122	262
5.1462	895
5.1792	778
5.2112	380
5.2442	373
5.2782	264
5.3112	348
5.3442	288
5.3762	146
5.4102	250
5.4432	154
5.4752	220
5.5092	167
5.5422	160
5.5742	245
5.6072	212
5.6412	123
5.6732	196
5.7062	269
5.7392	140
5.7732	189
5.8062	229
5.8392	215
5.8712	181
5.9052	203
5.9372	146
5.9702	202
6.0042	159
6.0372	336
6.0692	168
6.1032	1472
6.1032	492
6.1362	361
6.1682	163
6.2012	164
6.2352	174
6.2672	166
6.3002	191
6.3342	178
6.3672	156
6.3992	137
6.4322	230
6.4662	152
6.4992	159
6.5322	164
6.5642	143
6.5972	104
6.6312	132
6.6642	221
6.6962	178
6.7292	173
6.7632	132
6.7962	141
6.8282	171
6.8612	152
6.8952	151
6.9272	142
6.9612	157
6.9932	134
7.0272	167
7.0592	227
7.0922	1472
7.0922	478
7.1252	349
7.1582	161
7.1922	208
7.2252	158
7.2582	216
7.2902	155
7.3232	134
7.3572	146
7.3892	131
7.4222	175
7.4552	178
7.4892	156
7.5222	168
7.5542	143
7.5872	143
7.6212	162
7.6542	159
7.6862	154
7.7202	166
7.7532	156
7.7862	157
7.8192	155
7.8522	152
7.8852	150
7.9182	176
7.9512	149
7.9842	149
8.0172	169
8.0502	175
8.0832	1472
8.0832	518
8.1152	322
8.1482	169
8.1822	188
8.2152	197
8.2482	216
8.2802	221
8.3132	205
8.3472	183
8.3792	179
8.4122	187
8.4462	150
8.4792	275
8.5122	206
8.5452	177
8.5792	144
8.6122	181
8.6452	176
8.6792	208
8.7122	170
8.7452	299
8.7792	254
8.8122	172
8.8452	158
8.8792	167
8.9122	197
8.9452	171
8.9792	182
9.0122	128
9.0452	155
9.0792	1472
9.0792	520
9.1122	255
9.1452	170
9.1792	165
9.2122	145
9.2452	182
